order_id,client_id,location_id,employee_id,registration_date,order_status_id,total_amount,notes
1,1,9,18,2025-06-15,3,205.30,Entrega coordinada desde tienda
2,2,2,3,2026-04-02,4,923.35,Aplicada política de cliente VIP
3,3,8,15,2024-11-11,1,196.60,Venta con seguimiento comercial
4,4,2,4,2025-10-09,4,63.95,Aplicado descuento promocional
5,4,9,17,2026-04-23,5,572.60,Pedido entregado en horario solicitado
6,4,1,2,2025-10-31,2,129.80,"Cliente recurrente, prioridad alta"
7,4,1,2,2026-03-01,4,52.40,"Cliente nuevo, primera compra"
8,4,3,6,2026-01-01,3,61.25,"Cliente recurrente, prioridad alta"
9,4,4,7,2025-10-20,4,285.60,Venta con seguimiento comercial
10,4,2,4,2026-03-09,6,168.90,Solicitud especial de empaque
11,4,7,14,2026-01-14,4,148.80,Pago dividido en dos cuotas
12,4,4,7,2026-01-03,1,1051.60,Compra para evento corporativo
13,4,6,12,2026-02-11,4,41.90,"Cliente recurrente, prioridad alta"
14,4,1,1,2026-03-23,6,155.40,Entrega coordinada desde tienda
15,4,4,7,2026-01-12,4,171.00,Coordinación con logística externa
16,4,5,10,2025-09-04,4,93.40,Entrega coordinada desde tienda
17,4,7,13,2026-03-28,4,145.80,Aplicada política de cliente VIP
18,4,3,5,2025-11-09,4,42.00,Entrega coordinada desde tienda
19,4,4,8,2025-08-16,4,1833.60,Devolución parcial procesada
20,4,3,6,2025-09-22,3,298.00,Pago dividido en dos cuotas
21,5,2,4,2023-02-21,1,724.40,Pago dividido en dos cuotas
22,6,4,8,2024-10-12,4,319.70,Coordinación con logística externa
23,6,5,9,2025-11-12,4,688.00,Solicitud especial de empaque
24,6,3,5,2025-10-23,3,315.20,Pedido entregado en horario solicitado
25,6,2,3,2025-03-17,4,45.00,Pago dividido en dos cuotas
26,6,5,10,2026-02-04,4,4762.90,Solicitud especial de empaque
27,6,3,6,2025-11-04,4,589.80,
28,6,5,10,2024-11-23,4,8.90,Pago dividido en dos cuotas
29,6,7,13,2025-04-18,5,46.40,Pedido entregado en horario solicitado
30,6,4,8,2025-03-08,4,21.00,Aplicada política de cliente VIP
31,6,7,13,2025-03-02,4,3396.40,
32,6,5,10,2026-01-16,4,278.10,
33,6,3,5,2025-11-09,4,105.80,Pago dividido en dos cuotas
34,6,4,8,2026-04-01,4,487.40,Solicitud especial de empaque
35,6,6,11,2024-11-15,1,137.50,Aplicado descuento promocional
36,6,8,15,2025-08-22,4,59.15,Pago realizado con transferencia bancaria
37,6,2,4,2025-01-26,5,5406.10,Entrega coordinada desde tienda
38,6,5,9,2024-09-12,2,142.20,Pago dividido en dos cuotas
39,6,6,11,2026-03-22,3,395.80,Pedido entregado en horario solicitado
40,6,9,18,2026-02-19,4,173.40,Pago realizado con transferencia bancaria
41,6,2,4,2025-02-23,2,325.60,Solicitud especial de empaque
42,6,1,1,2025-11-06,4,123.70,Solicitud especial de empaque
43,6,3,6,2026-01-27,4,24.90,Entrega coordinada desde tienda
44,6,9,18,2025-03-12,2,40.10,Cliente solicitó comprobante electrónico
45,6,9,18,2026-04-19,4,483.60,Entrega coordinada desde tienda
46,6,6,12,2025-09-13,1,119.00,Devolución parcial procesada
47,6,4,8,2025-03-12,1,102.80,"Cliente nuevo, primera compra"
48,6,3,5,2025-12-11,4,275.50,
49,6,9,17,2025-11-11,4,348.60,Cliente solicitó comprobante electrónico
50,6,1,2,2025-03-29,4,1222.15,Compra para evento corporativo
